0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:14 +0900] "POST /springPortfolio/shopCart/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:14 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:18 +0900] "GET /springPortfolio/shopMall/view?productCode_=5 HTTP/1.1" 200 5716
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:22 +0900] "POST /springPortfolio/shopCart/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:22 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:24 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:26 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:27 +0900] "GET /springPortfolio/shopMall/view?productCode_=6 HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:30 +0900] "POST /springPortfolio/shopCart/chugaProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:30 +0900] "GET /springPortfolio/shopMall/list HTTP/1.1" 200 6535
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:07:31 +0900] "GET /springPortfolio/shopCart/list HTTP/1.1" 200 5841
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:08:06 +0900] "GET /springPortfolio HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:08:06 +0900] "GET /springPortfolio/ HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [20/Oct/2022:20:08:29 +0900] "GET /springPortfolio/board/list?tbl=freeboard HTTP/1.1" 200 4692
